model,origin_mode,saving_basis,harm_basis,lambda,winner,winner_reward,reward_uniform_full,reward_uniform_low,reward_calib_static,reward_causal_no_hysteresis,reward_controller
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.0,uniform_low,0.2853918304917761,0.0,0.2853918304917761,-0.1429322574316731,0.016779387551905,0.245060479232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.1,uniform_low,0.28461058049177607,0.0,0.28461058049177607,-0.1448853824316731,0.015607512551905001,0.245060479232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.2,uniform_low,0.28382933049177606,0.0,0.28382933049177606,-0.1468385074316731,0.014435637551905,0.245060479232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.5,uniform_low,0.2814855804917761,0.0,0.2814855804917761,-0.1526978824316731,0.010920012551905,0.245060479232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,1.0,uniform_low,0.2775793304917761,0.0,0.2775793304917761,-0.1624635074316731,0.005060637551905001,0.245060479232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,2.0,uniform_low,0.2697668304917761,0.0,0.2697668304917761,-0.1819947574316731,-0.006658112448094999,0.245060479232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,5.0,uniform_low,0.24632933049177608,0.0,0.24632933049177608,-0.2405885074316731,-0.041814362448095,0.245060479232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,10.0,controller,0.245060479232464,0.0,0.20726683049177608,-0.3382447574316731,-0.100408112448095,0.245060479232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.0,uniform_low,0.2853918304917761,0.0,0.2853918304917761,-0.1429322574316731,0.016779387551905,0.245060479232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.1,uniform_low,0.28070433049177607,0.0,0.28070433049177607,-0.14801038243167308,0.012873137551905,0.24232610423246398
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.2,uniform_low,0.27601683049177606,0.0,0.27601683049177606,-0.1530885074316731,0.008966887551905,0.239591729232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.5,uniform_low,0.2619543304917761,0.0,0.2619543304917761,-0.1683228824316731,-0.0027518624480949994,0.231388604232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,1.0,uniform_low,0.23851683049177608,0.0,0.23851683049177608,-0.1937135074316731,-0.022283112448095,0.217716729232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,2.0,uniform_low,0.19164183049177608,0.0,0.19164183049177608,-0.2444947574316731,-0.061345612448095,0.190372979232464
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,5.0,controller,0.10834172923246399,0.0,0.05101683049177608,-0.3968385074316731,-0.178533112448095,0.10834172923246399
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,10.0,uniform_full,0.0,0.0,-0.18335816950822392,-0.6507447574316731,-0.373845612448095,-0.02837702076753601
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,uniform_low,0.2853918304917761,0.0,0.2853918304917761,-0.1429322574316731,0.016779387551905,0.245060479232464
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.1,uniform_low,0.23154567664562223,0.0,0.23154567664562223,-0.18908610358551925,-0.01783599706347961,0.20275278692477167
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.2,uniform_low,0.17769952279946838,0.0,0.17769952279946838,-0.2352399497393654,-0.05245138167886422,0.16044509461707937
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.5,controller,0.033522017694002454,0.0,0.01616106126100686,-0.3737014882009039,-0.15629753552501804,0.033522017694002454
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,1.0,uniform_full,0.0,0.0,-0.25306970796976236,-0.6044707189701346,-0.3293744586019411,-0.17801644384445908
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,2.0,uniform_full,0.0,0.0,-0.7915312464313008,-1.066009180508596,-0.6755283047557872,-0.6010933669213822
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,5.0,uniform_full,0.0,0.0,-2.406915861815916,-2.4506245651239804,-1.7139898432173255,-1.8703241361521514
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,10.0,uniform_full,0.0,0.0,-5.099223554123608,-4.758316872816288,-3.444759073986556,-3.985708751536767
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.0,uniform_low,0.2853918304917761,0.0,0.2853918304917761,-0.1429322574316731,0.016779387551905,0.245060479232464
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.1,uniform_low,0.20462259972254532,0.0,0.20462259972254532,-0.2160091805085962,-0.04091292014040269,0.17967586384784862
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.2,uniform_low,0.12385336895331453,0.0,0.12385336895331453,-0.2890861035855192,-0.09860522783271038,0.11429124846323321
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.5,uniform_full,0.0,0.0,-0.11845432335437778,-0.5083168728162885,-0.27168215090963344,-0.08186259769061294
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,1.0,uniform_full,0.0,0.0,-0.5223004772005316,-0.8737014882009038,-0.5601436893711719,-0.40878567461368986
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,2.0,uniform_full,0.0,0.0,-1.3299927848928395,-1.6044707189701346,-1.1370667662942489,-1.0626318284598437
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,5.0,uniform_full,0.0,0.0,-3.7530697079697624,-3.7967784112778267,-2.8678359970634792,-3.024170289998305
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,10.0,uniform_full,0.0,0.0,-7.7915312464313,-7.450624565123981,-5.752451381678863,-6.293401059229074
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,uniform_low,0.2853918304917761,0.0,0.2853918304917761,-0.1429322574316731,0.016779387551905,0.245060479232464
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.1,uniform_low,0.2701556819276311,0.0,0.2701556819276311,-0.153460059317874,0.00806585098205635,0.22996697436215358
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.2,uniform_low,0.25491953336348616,0.0,0.25491953336348616,-0.16398786120407488,-0.0006476855877922995,0.21487346949184316
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.5,uniform_low,0.20921108767105123,0.0,0.20921108767105123,-0.1955712668626776,-0.026788295297338248,0.1695929548809119
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,1.0,uniform_low,0.1330303448503264,0.0,0.1330303448503264,-0.24821027629368209,-0.0703559781465815,0.09412543052935979
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,2.0,uniform_full,0.0,0.0,-0.019331140791123302,-0.35348829515569113,-0.157491343845068,-0.056809618173744414
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,5.0,uniform_full,0.0,0.0,-0.47641559771547237,-0.6693223517417182,-0.4188974409405275,-0.5096147642830571
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,10.0,uniform_full,0.0,0.0,-1.238223025922721,-1.1957124460517632,-0.85457426943296,-1.2642900077985781
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,uniform_low,0.2853918304917761,0.0,0.2853918304917761,-0.1429322574316731,0.016779387551905,0.245060479232464
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.1,uniform_low,0.23165301268993377,0.0,0.23165301268993377,-0.19696138515786116,-0.020150326669315752,0.18740137086879893
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.2,uniform_low,0.17791419488809143,0.0,0.17791419488809143,-0.2509905128840493,-0.057080040890536504,0.12974226250513385
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.5,uniform_low,0.016697741482564477,0.0,0.016697741482564477,-0.41307789606261347,-0.16786918355419875,-0.04323506258586135
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,1.0,uniform_full,0.0,0.0,-0.2519963475266471,-0.6832235346935538,-0.3525177546603025,-0.3315306044041867
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,2.0,uniform_full,0.0,0.0,-0.7893845255450703,-1.2235148119554347,-0.72181489687251,-0.9081216880408374
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,5.0,uniform_full,0.0,0.0,-2.40154905960034,-2.844388643741077,-1.8297063235091326,-2.6378949389507893
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,10.0,uniform_full,0.0,0.0,-5.088489949692455,-5.545845030050481,-3.67619203457017,-5.520850357134043
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.0,uniform_low,0.2853918304917761,0.0,0.2853918304917761,-0.1429322574316731,0.016779387551905,0.245060479232464
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.1,uniform_low,0.22480035503253054,0.0,0.22480035503253054,-0.20602433385474955,-0.027836121190152358,0.18020549034111918
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.2,uniform_low,0.164208879573285,0.0,0.164208879573285,-0.26911641027782607,-0.07245162993220972,0.11535050144977438
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.5,uniform_full,0.0,0.0,-0.017565546804451604,-0.45839263954705545,-0.20629815615838176,-0.07921446522426001
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,1.0,uniform_full,0.0,0.0,-0.3205229241006793,-0.7738530216624377,-0.4293756998686685,-0.403489409680984
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,2.0,uniform_full,0.0,0.0,-0.9264376786931346,-1.4047737858932026,-0.875530787289242,-1.052039298594432
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,5.0,uniform_full,0.0,0.0,-2.744181942470501,-3.2975360785854964,-2.2139960495509627,-2.997688965334776
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,10.0,uniform_full,0.0,0.0,-5.773755715432777,-6.45213989973932,-4.44477148665383,-6.240438409902016
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,uniform_low,0.2853918304917761,0.0,0.2853918304917761,-0.1429322574316731,0.016779387551905,0.245060479232464
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.1,uniform_low,0.28461058049177607,0.0,0.28461058049177607,-0.1448853824316731,0.015607512551905001,0.245060479232464
