global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,causal_no_hysteresis,32,0,,52395,0,0.0,27035820.0,27035820.0,13921164.0,13921164.0,556.84656,0,0.0,0.0,0.0,556.84656,12083.0,26979.0
15,0,15,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51554,36030,0.6988788454824068,17378184.0,26601864.0,13040352.0,6570720.0,521.61408,1134,33.42015981674194,37898.461232185364,33.42015981674194,296.24895981674194,9394.0,25272.0
16,1,0,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49634,38068,0.7669742515211347,15865736.0,25611144.0,12380904.0,6238440.0,495.23616,1198,33.42015981674194,40037.35146045685,33.42015981674194,282.95775981674194,11897.0,23994.0
17,1,1,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48262,35805,0.7418880278479963,15737112.0,24903192.0,11640960.0,5865600.0,465.6384,1127,33.42015981674194,37664.52011346817,33.42015981674194,268.04415981674197,10002.0,22560.0
18,1,2,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48653,36173,0.7434896100959859,15844660.0,25104948.0,11833428.0,5962580.0,473.33712,1138,33.42015981674194,38032.14187145233,33.42015981674194,271.92335981674194,13077.0,22933.0
19,1,3,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47193,33825,0.7167376517703897,15692388.0,24351588.0,11008860.0,5547100.0,440.3544,1064,33.42015981674194,35559.05004501343,33.42015981674194,255.30415981674193,10092.0,21335.0
20,1,4,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49160,36995,0.7525427176566314,15895840.0,25366560.0,12054276.0,6073860.0,482.17104,1164,33.42015981674194,38901.06602668762,33.42015981674194,276.3745598167419,11186.0,23361.0
21,1,5,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48057,35173,0.7319017000645067,15793124.0,24797412.0,11468100.0,5778500.0,458.724,1106,33.42015981674194,36962.69675731659,33.42015981674194,264.56015981674193,9191.0,22225.0
22,1,6,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49078,36963,0.7531480500427891,15861720.0,25324248.0,12083688.0,6088680.0,483.34752,1163,33.42015981674194,38867.64586687088,33.42015981674194,276.9673598167419,9664.0,23418.0
23,1,7,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48146,35625,0.7399368587213891,15723336.0,24843336.0,11536728.0,5813080.0,461.46912,1122,33.42015981674194,37497.41931438446,33.42015981674194,265.9433598167419,10024.0,22358.0
24,1,8,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48691,35881,0.7369123657349408,15939020.0,25124556.0,11745708.0,5918380.0,469.82832,1130,33.42015981674194,37764.780592918396,33.42015981674194,270.1553598167419,9681.0,22763.0
25,1,9,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49062,36382,0.7415515062573886,16002200.0,25315992.0,11946432.0,6019520.0,477.85728,1145,33.42015981674194,38266.082990169525,33.42015981674194,274.20095981674194,9272.0,23152.0
26,1,10,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48536,36836,0.7589418163837152,15614560.0,25044576.0,11913408.0,6002880.0,476.53632,1158,33.42015981674194,38700.54506778717,33.42015981674194,273.5353598167419,10676.0,23088.0
27,1,11,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47829,34675,0.7249785694871312,15802964.0,24679764.0,11187912.0,5637320.0,447.51648,1091,33.42015981674194,36461.39436006546,33.42015981674194,258.91295981674193,9248.0,21682.0
28,1,12,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48225,35803,0.7424157594608606,15718532.0,24884100.0,11609484.0,5849740.0,464.37936,1126,33.42015981674194,37631.09995365143,33.42015981674194,267.40975981674194,10069.0,22499.0
29,1,13,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49298,37478,0.7602336808795489,15843400.0,25437768.0,12198756.0,6146660.0,487.95024,1180,33.42015981674194,39435.78858375549,33.42015981674194,279.28655981674194,10973.0,23641.0
30,1,14,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49800,38427,0.7716265060240964,15859488.0,25696800.0,12489264.0,6293040.0,499.57056,1209,33.42015981674194,40404.97321844101,33.42015981674194,285.1417598167419,10238.0,24204.0
31,1,15,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47577,34838,0.7322445719570381,15631204.0,24549732.0,11285436.0,5686460.0,451.41744,1095,33.42015981674194,36595.07499933243,33.42015981674194,260.8785598167419,9009.0,21871.0
